ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
212,Culture Series,implant,"linking, stimulation",,Novel,"Laces may autonomously regulate the flow of gland secretions to enhance bodily responses and functions. Laces may go to sleep with their host, and awaken from an adrenaline rush. They may wake their host in response to urgent communications. A lace improves memory retention and recall. It actively manages memory to minimize losses.However, it does not prevent noticeable loss or change of personality in long-lived persons. The lace may be used to interface with machines.",N/A,1987,2121,135,"dystopia, utopia",Invasive,0.259259259,0.190217391,0.733695652,Neural Lace,Iain M Banks,N/A,N/A,1-Jan-87
213,Star Trek: The Next Generation,"glasses, implant","XR, reality, rehabilitation, stimulation",,"Movie, Novel, TV Series, comics, game","The VISOR (an acronym for Visual Instrument and Sensory Organ Replacement) was a medical device used in the Federation to aid patients who had either lost their eyesight or were born blind. The result was a vastly different visual acuity, with VISOR-wearers able to see in the infrared and ultraviolet ranges and beyond. To Human eyes with good vision, the images relayed through the VISOR could seem disorienting and unfamiliar. The 2360s model detected electromagnetic signals across the entire EM spectrum between 1 Hz and 100,000 THz and transmitted those signals to the brain through neural implants in the temples of the individual via delta-compressed wavelengths. A bank of preprocessors uses a pulse compression routine to compress the data stream into pulses so that it doesn't overload the senses.","XR, enhancement, medical",1987,2031,45,utopia,"Invasive, Non-invasive",0.777777778,0.190217391,0.244565217,VISOR,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jul-87
214,The Gap Cycle Series,implant,"emotions, manipulation, stimulation",,Novel,"""zone implant"" in the brain - a remotely controlled electrode which allows to control every feeling and action",N/A,1990,2121,132,dystopia,Invasive,0.242424242,0.17679558,0.729281768,Zone implant,Stephen R. Donaldson,N/A,N/A,1-Jan-90
215,Until the End of the World,helmet,"dreams, rehabilitation, stimulation",,Movie,"Device for recording and translating brain impulses to restore vision of the blind person. Also used for recording the dreams. telexperience technology that is adapted to record dreams so that they can be shared with others or watched on a video display. In the world of the film, the technology is new and experimental, and is handled in the inventor’s laboratory with complicated electronic equipment. After having first recorded an event with a special binocular, brainwave-reading camera, the subject must rewatch the recording and remember the event. During this rewatching, the subject’s brainwaves are being recorded for later transmission. The subject has electrodes taped to his or her temples and lies back in a curved headrest with an electronic grid lining it. We know it’s working because of the various screens that display the moving images gathered by the procedure. We know it’s done when the subject’s REM state ends, which is seen on screens that monitor the health and brain activity
of the subject.",medical,1991,2071,81,"dystopia, utopia",Non-invasive,0.382716049,0.172222222,0.45,N/A,Wilm Wenders,Warner Bros. Pictures,"Filmproduktion GmbH, Road Movies",1-Jan-91
216,Star Trek: The Next Generation,glasses,stimulation,,"Anime, Movie, TV Series, comics, game","device that fits over the ears and projects signals into the eyes. This creates in the wearer's field of vision an image of discs going into funnels. When a disk goes into one of said funnels, the player is ""rewarded"" by receiving pleasure signals from the device.","addiction, pleasure",1991,2041,51,dystopia,Non-invasive,0.607843137,0.172222222,0.283333333,N/A,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-91
217,Quarantine,lifeform,"control of the user, emotions, knowledge upload, manipulation, stimulation",,Novel,"Neural mods are common place, designed pathways in the brain that are created with engineered, programmable microoganisms to produce a variety of effects, such as implanting skillsets, emotions, altered states of awareness or, illegally, forcing and controlling thoughts.",manipulation,1992,2121,130,"dystopia, utopia",Invasive,0.230769231,0.167597765,0.726256983,Neural mods,Greg Egan,N/A,N/A,1-Jan-92
218, Star Trek: The Next Generation,implant,"rehabilitation, stimulation",,"Anime, Movie, TV Series, comics, game","Neural transducers were small devices used to restore mobility to physically disabled individuals. They could pick up the neural signals from the brain and then stimulate the appropriate muscles. The implants were generally not one hundred percent effective, but did allow a patient to recover most mobility. Motor assist bandswere first used to train the patient's nervous system before surgery.",medical,1992,2031,40,utopia,Invasive,0.75,0.167597765,0.223463687,Neural transducer,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-92
219,The Turing Option,implant,stimulation,,Novel,Electronic implants (restoring brain activity),medical,1992,2041,50,utopia,Invasive,0.6,0.167597765,0.279329609,N/A,Harry Harrison,N/A,N/A,1-Jan-92
220,Fortress,implant,stimulation,,Movie,"To maintain discipline all inmates are implanted with ""Intestinators"" which induce severe pain or death as a form of physical control and mental conditioning.",prison,1992,2041,50,dystopia,Invasive,0.6,0.167597765,0.279329609,Intestinators,Stuart Gordon,"Dimension Films, Tri-Star Pictures","Davis Entertainment, Village Roadshow Pictures",1-Jan-92
221,Snow Crash,software,"communication, knowledge upload, stimulation",,Novel,"Firmware programming language for the brainstem, BIOS for the brain",N/A,1992,2096,105,"dystopia, utopia",N/A,0.285714286,0.167597765,0.586592179,N/A,Neal Stephenson,N/A,N/A,1-Jan-92
222,The Night's Dawn Trilogy,implant,"communication, linking, memory, robot/object control, stimulation",,Novel,"Neural nanonics are a form of nanoscale technology implanted at the base of the skull that serve as a highly advanced computer system directly linked to the subject's brain. Neural nanonic sets are available in a variety of models which vary in power and applications, like modern computers. Neural nanonics range from very basic models, designed for the average person which allows the day-to-day functions of a neural-linked information culture, to incredibly complex and powerful sets which can allow a user to fly starships (or fly them automatically, to a lesser degree) or command battalions of men. Functioning nanonics have no undesired control over the brain, preserving the will and privacy of the user. However, programmes can be set to ""primary"" mode, at which point they can aide the user, or take control of certain bodily functions completely. Applications:
_	Datavises: E-mail type communication with people and machinery. Control over equipment occurs with thought alone.
_	Sensevises: A way of communicating and viewing data. An image alone with sound , smell, texture, taste etc is electronically encoded directly into the brain. This allows a close approximation to the Edenist affinitygene on a technological level. It provides full stimulation, and complete immersion in a fantasy world. Secure (Level 1) sensevises can occur which are said to be unbreakable by human technological standards.
_	Neuroiconic-Display: Displays data ""into your mind"", the data is viewed through your eyes in your peripheral vision, everything from the time, to datavise answers, through to starship controls and readouts can appear. The information can be expanded on through thought, at which point the display will give greater detail, or activate/answer/respond to, the message/program etc. Damage to the host body (physiological monitors) or starship, etc, are overlaid as icons on a outline of the object in question.
_	Enhanced memory retrieval: Memories can be ""sorted"" and ""filed"" as well as played back and backed up.
_	Physiological and Biochemical Control Functions: Nanonics allow a user to access their body's chemical and physical functions for the purposes of medical diagnosis and treatment--nanonics improve the speed and effectiveness of medical nanonic packages for instance. On a lighter note, neural nanonics allow a person to minimize the effects of their body's unwanted physiological functions, including dampening the effects of alcohol and sexual arousal.
_	Axon Blocks: Axon blocks can block any form of pain from the body, allowing the user to continue to function even with severe wounds. They can also block nausea, and bodily functions, for a while at least.
_	Stimulant Programs: “Stim” programs as they are known range from increasing adrenalin production in times of danger, to flooding the body with endorphins, the higher range programs are considered black market, as they very closely replicate the effect of drugs, with many of the same side effects.
_	Somnolence Progams: Force the user to sleep
_	Attack/Defence: Programs analyse attacks of enemies and can give counter moves, in primary mode many even perform the moves on behalf of the user. This can also “spot” dangers which a normal human may miss.
_	Other uses: Automatic weapon control, Encyclopedia Galactica, SII Suit control, linguistic translation, news informats, starship astrogation, net searches, sight amplification, hearing amplification, full range nerve overrides for the entire body, implant command, total indexed memory recall, electronic warfare.",military,1996,2121,126,utopia,Invasive,0.206349206,0.148571429,0.72,neural nanonics,Peter F. Hamilton,N/A,N/A,1-Jan-96
223,StarCraft,helmet,"control of the user, stimulation",,game,"Neural resocialization was a rigorous process, devised by the Terran Confederacy, used to treat criminals suffering from mental disorders or at least prevent them from committing crimes and turning them into loyal soldiers. Some Dominion military personnel even volunteered for the process (in an effort to avoid mental problems). Those who underwent the process often had a blissful look. Since the reign of Valerian Mengsk, it has been banned by the Terran Dominion.
Terrans sometimes refer to neural resocialization simply as ""resoc"" or ""brain panning"" (the latter term also refers to any form of insanity, brain damage, drug use or even simple stupidity).
Neural resocialization bears many similarities to the technology used normally to control ghosts. However, resocialization technology has been used to control spectres and to modify the memories of ghosts in order to ensure their loyalty.
Resocialized individuals' minds are ""fuzzy"" when sensed by a telepath.",prison,1998,2071,74,dystopia,Non-invasive,0.324324324,0.138728324,0.427745665,Neural resocialization,N/A,N/A,N/A,1-Jan-98
224, Star Trek: Deep Space Nine,implant,stimulation,,"Anime, Movie, TV Series, comics, game","When authorized by the head of the Obsidian Order, operatives (such as Elim Garak) were fitted with a cranial implant that stimulated the production of endorphins, allowing them to resist torture.",military,1998,2041,44,"dystopia, utopia",Invasive,0.545454545,0.138728324,0.25433526,Cranial implant,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-98
225,Deepness in the Sky,tool,"control of the user, stimulation",,Novel,"An active MRI-type device triggers changes through dia- and paramagnetic biological molecules. By manipulating the brain in this way, Emergent managers induce obsession with a single idea or specialty, which they call Focus, essentially turning people into brilliant appliances.","obsessions, stimulations",1999,2121,123,dystopia,Non-invasive,0.18699187,0.13372093,0.715116279,N/A,Vernor Vinge,N/A,N/A,1-Jan-99
226,DeusEx,implant,"control of the user, linking, manipulation, stimulation",,game,"One-way micro-transceiver array allows agents in the field to receive messages from Control, and to store and later retrieve relevant maps, conversations and notes. Example 1: helicopter pilot with implanted chips to better pilot her aircraft and analyze flight paths, velocity and spacial awareness. Ex 2: hacker with BCI which allows direct access to computer networks and to act as “human proxy”, to allow an individual to remotely control his/her actions. The game raises the question of the downsides of this kind of augmentation as those who cannot afford the enhancements (or object to getting them) rapidly find themselves at a serious disadvantage against people with artificial enhancement of their abilities. The spectre of being forced to have mechanical or electronic enhancements just to get a job is explored as well. The storyline addresses the effect of implant rejection by use of the fictional drug 'Neuropozyne' which breaks down glial tissue and is also fiercely addictive, leaving people who have augmentations little choice but to continue buying the drug from a single biotech corporation who controls the price of it. Without the drug augmented people experience rejection of implants (along with ensuing loss of implant functionality), crippling pain, and possible death.",military,2000,2121,122,utopia,Invasive,0.180327869,0.128654971,0.713450292,N/A,N/A,N/A,N/A,1-Jan-00
227,Dark Angel,implant,stimulation,,TV Series,"All Red soldiers were convicts, who were recruited from Death Row with the promise of several more months of life and relative freedom serving their country.
When a soldier was chosen, an implant was inserted (painfully) into the back of his neck, where it attached itself to the brain stem and began to rewire neural pathways. When the process was complete, the pain centers of the brain were deactivated, ensuring that the soldier would feel no pain and therefore would be essentially fearless. They also became hyper-adrenalized, granting them vastly superior physical strength and ruggedness. In this condition, a Red Series could withstand a tremendous amount of physical abuse, and could survive multiple gunshots to the torso. In the end, however, the strain on their nervous system was too great, and they burned out after about six months, a year at best.",pain,2000,2071,72,dystopia,Invasive,0.305555556,0.128654971,0.421052632,N/A,"Charles H. Eglee, James Cameron",20th Century Fox,"20th Century Fox Television, Cameron/Eglee Productions",1-Jan-00
228,Saturn's Race,N/A,stimulation,,Novel,A device that aids sleep and relaxation by working with the subject's brain waves,"sleep, stimulations",2000,2021,22,utopia,N/A,1,0.128654971,0.128654971,Napcap Induction Cap,"Larry Niven, Steven Barnes",N/A,N/A,1-Jan-00
229,Sword Art Online,bed,"communication, emotions, linking, stimulation",,"Anime, Movie, Novel, game","Medicuboid is integrated with a bed, from the head to the spinal cord, rather than just a helmet and it connects not only to the medulla, but to the spinal cord as well. It also possesses a greater processing power, allowing interaction with deeper parts of the brain. All these improvements provide the user with enhanced reflexes and reaction time. However, this machine is only meant to be used for medical purposes, and specifically for patients in Terminal Care. The users of the Medicuboid hardly use their own bodies to come back to the real world; instead, they connect to external devices, like cameras and microphones, via the Medicuboid to interact with the real world.","healthcare, medical",2009,2041,33,utopia,Invasive,0.393939394,0.080246914,0.203703704,Medicuboid,Reki Kawahara,Aniplex,A-1 Pictures,1-Jan-09
230,Surrogates,helmet,"XR, robot/object control, stimulation",,"Movie, comics",remote-controlled humanoid robots through which the humans interact with society.,N/A,2009,2041,33,"dystopia, utopia",Non-invasive,0.393939394,0.080246914,0.203703704,N/A,Jonathon Mostow,"Motion Pictures, Walt Disney Studios","Mandeville Productions, TouchStone Pictures",1-Jan-09
231,The Outer Limits,implant,"reading thoughts, telepathy",,TV Series,"implant used to rewire the brain, later used for telepathy and communication as well as reading thoughts",N/A,1995,2121,127,"dystopia, utopia",Invasive,0.212598425,0.153409091,0.721590909,Cerebral Chip (CCI2),Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",1-Jan-95
232,The Night's Dawn Trilogy,implant,"communication, linking, telepathy",,Novel,"Affinity is a quasi-telepathic link that was developed by the Edenists in the late 21st Century. They use it to communicate mentally with each other, with their habitats and voidhawks. By the 27th Century, it has been further developed to allow direct control of non-sentient computers (such as a bitek array) and animal life forms (such as spiders for remote sensing).
Originally, affinity was achieved by neuron symbionts. That is, an implant in the brains of the ""sender"" and ""receiver"", allowing them to contact each other. Eventually, affinity was encoded in human DNA and embryos engineered to carry this gene. This was one of the reasons which caused the Edenist community to be ex-communicated from the Church (the other being the transfer of Edenist memories and personalities to the neural strata of the original habitat Eden).
Affinity has two modes of communication. One is a secure person-to-person mode for privacy, the other is communial, allowing all Edenists in a given location to pick up on the conversation. Taking the communial mode further, Edenists have a ""Consensus"", kind of mega-meeting of minds, to discuss matters of grave concern (i.e possesion or the Laton crisis).
One of the misconceptions of affinity that Adamists often have is that affinity is ""a voice inside your head"". It is so much more, as a full range of emotions, visual images, smells, and sounds can be transmitted.
Affinity works using an odd property of physics known as quantum entanglement. When two particles are entangled in such a way, the two are linked at a fundamental level, no matter how far apart they are. This allows affinity to broadcast data etc without any apparent means of transmission (i.e. radio), which renders the link to be undetectable of non-affinity technology. It also allows faster-than-light communication. In reality, the distance that affinity has is limited by the power of the sender and the interference present such as large quantities of matter.
Affinity is not used exclusively by Edenists. Owners of blackhawk starships (who are usually Adamist) will have neuron symbionts implanted which allows affinity communication with their ship. Unlike Edenist affinity, the owners link is ""tuned in"" to ship only. Blackhawks do have general affinity though.","group mind, religion",1996,2121,126,utopia,Invasive,0.206349206,0.148571429,0.72,"Affinity, neuron symbionts",Peter F. Hamilton,N/A,N/A,1-Jan-96
233,Star Trek: The Next Generation,N/A,telepathy,,"Anime, Movie, TV Series, comics, game","A neural link was the term used to describe the telepathic connection between Borg drones, allowing them the act as one mind in the Collective.",group mind,1990,2121,132,utopia,N/A,0.242424242,0.17679558,0.729281768,neural link,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-90
234, Star Trek: Enterprise,tool,"reading thoughts, telepathy",,"Anime, Movie, TV Series, comics, game","A telepresence unit was a device which utilized telepresence to allow a person to safely control a vessel from a remote location. Telepathy was required to use a telepresence unit, which could transmit brain wave signals through many light years in space.",telepresence,2005,2041,37,"dystopia, utopia",Non-invasive,0.459459459,0.102409639,0.222891566,telepresence unit,"Brannon Braga, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-05
235,Pacific Rim,N/A,telepathy,,"Anime, Movie, game","Jaegers, gigantic humanoid mechas, each controlled by at least two pilots, whose minds are joined by a mental link. The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.","assimilation, military",2013,2121,109,utopia,N/A,0.082568807,0.056962025,0.689873418,mental link,Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures,1-Jan-13
236,Pacific Rim,N/A,telepathy,,"Anime, Movie, game",The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.,"assimilation, military",2013,2121,109,utopia,N/A,0.082568807,0.056962025,0.689873418,Drift,Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures,1-Jan-13
237,Star Trek: The Original Series,N/A,telepathy,,"Movie, TV Series, comics, game","A mind meld is a technique for sharing thoughts, experiences, memories, and knowledge with another individual, essentially a limited form of telepathy. It usually requires physical contact with a subject, though instances of mind melds without contact have been seen. When first depicted in the TOS episode ""Dagger of the Mind"", the procedure was said to require several moments of intense concentration and preparation. However, subsequent episodes show contact between minds occurring almost immediately. Although most often seen done with humanoids, mind melds can be performed with members of other species. Spock even once successfully mind melded with a machine and was able to establish telepathic contact with the mechanical probe V'ger. 
Mind melds can be used both to erase and restore memories; Spock performs each of these on Captain Kirk during TOS 's third season. A mind meld was even used to rejoin Spock's katra with his physical body. Mind melds can also allow more than one mind to experience memories and sensations, and sometimes even interact with the memories. Some species are able to resist mind melds.",mind-sharing,1966,2121,156,"dystopia, utopia",N/A,0.358974359,0.273170732,0.76097561,Mind Meld,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-66
238,A Biological Experiment,N/A,reading thoughts,,Novel,"A device that recorded and played back the thoughts of the user.
",N/A,1928,2071,144,"dystopia, utopia",Non-invasive,0.652777778,0.386831276,0.592592593,Psycho-Phone,David H. Keller,N/A,N/A,1-Jan-28
239,"The X-Files, S3 EP1 ""The Blessing Way""",implant,"memory, reading thoughts",,"Movie, Novel, TV Series",Implant that reads each thought and can modify memory,memories,1995,2096,102,dystopia,Invasive,0.264705882,0.153409091,0.579545455,N/A,R. W. Goodwin,"20th Television, Disney-ABC","20th Century Fox Television, Ten Thirteen Productions",1-Jan-95
240,"Fringe, S5 EP8 ""The Human Kind""",implant,"emotions, reading thoughts",,TV Series,Implant that reads minds of others on the expense of emotion,emotions,2012,2071,60,dystopia,Invasive,0.166666667,0.062893082,0.377358491,N/A,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",1-Jan-12
241,Star Trek: Deep Space Nine,"implant, tool","knowledge upload, memory, reading thoughts",,"Anime, Movie, TV Series, comics, game","A dataport was a device that allowed a person to interface directly with a computer. Dataports also allowed information to be transferred to or from a person's mind, including memories, which could then be stored in data crystals. A third capability of dataports was allowing two people to link minds; in that capacity, they were used by net-girls, among others, who allowed paid customers into their minds.
The typical dataport had three parts: one which was implanted behind the person's ear, one which was attached to the implant, and one which attached to the target computer.",N/A,1999,2121,123,"dystopia, utopia","Invasive, non-contact",0.18699187,0.13372093,0.715116279,Dataport,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
242,Star Trek: Deep Space Nine,lifeform,reading thoughts,,"Anime, Movie, TV Series, comics, game","A neurogenic interface was a technology that allowed a lifeform's brain to directly communicate with a computer, allowing the user to control functions and have it react instantly to thought.",N/A,1999,2041,43,"dystopia, utopia",N/A,0.534883721,0.13372093,0.25,neurogenic interface,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
243,Star Trek: Voyager,implant,reading thoughts,,"Anime, Movie, TV Series, comics, game","A neural transceiver or neuro-transceiver (alternately neurotransceiver) was a device capable of granting access to an individual's brain. Implanted in the upper spinal column, this technology was utilized heavily by the Borg as the primary means of maintaining the neural link between an individual drone and the rest of the Collective. ",access,1997,2041,45,"dystopia, utopia",Invasive,0.555555556,0.143678161,0.25862069,neural transceiver,"Jeri Taylor, Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-97
244, Star Trek: The Next Generation,N/A,"linking, reading thoughts",,"Anime, Movie, TV Series, comics, game","A neural interface was a technology that allowed a direct connection to be formed between a computer system and an individual's brain. Technologies which utilized neural interfaces included telepresence units, the suspended animation system of Viorsa's species, and multitronic engrammatic interpreters. ",N/A,1991,2021,31,"dystopia, utopia",N/A,1,0.172222222,0.172222222,neural interface,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-91
245, Star Trek: The Original Series,tool,"reading thoughts, recording brain activity, rehabilitation",,"Anime, Movie, Novel, TV Series, comics, game","This version of the tricorder scanned specific brain wave patterns during questioning of the patient, and was helpful in diagnosis and treatment of mental ailments and disorders. It may have possessed a hypnosis-assist subroutine, as well as subroutines for lie-detection and amnesia analysis. The device was normally operated by a medical technician while the attending psychologist directed the patient.",medical,1967,2021,55,"dystopia, utopia",Non-invasive,1,0.269607843,0.269607843,Psycho-tricoder,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-67
246, Star Trek: Deep Space Nine,tool,reading thoughts,,"Anime, Movie, TV Series, comics, game","The device had the ability to record thoughts and provide that data to be read by the interrogators, thus making it possible to bypass normal interrogation techniques.",interrogation,1999,2041,43,dystopia,Non-invasive,0.534883721,0.13372093,0.25,Romulan mind probe (mind scanner),"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
247,Sol Bianca,helmet,reading thoughts,,Anime,"It is a direct neural interface weapon, tapping into the user's thoughts and intentions. By reading the mind of the soldier wearing it - its a big gun - the reflexes of the peripheral nervous system are effectively bypassed and the gun fires long before the finger pulls the trigger. It is pretty much instantaneous when the decision to fire has been made.",military,1999,2041,43,dystopia,Non-invasive,0.534883721,0.13372093,0.25,"The F-310 Mega-Arms, non-invasive","Hiroki Hayashi, Katsuhito Akiyama",N/A,AIC,1-Jan-99
248,Harry Potter,hat,reading thoughts,,"Movie, Novel, Theatre, game","The Hat is skilled with legilimency, the act of magically navigating through the many layers of a person's mind and correctly interpreting one's findings. A person who practises this art is known as a Legilimens. Muggles might call this ""mind-reading,"" but practitioners disdain the term as naive. The opposite of Legilimency is Occlumency, which may be used to shield one's mind from the invasion and influence of a Legilimens.",education,1997,2041,45,utopia,Non-invasive,0.555555556,0.143678161,0.25862069,Sorting Hat,J. K. Rowling,Warner Bros. Pictures,Warner Bros. Pictures,1-Jan-97
249,Avengers: Infinity War,stone,"dreams, memory, reading thoughts",,"Movie, comics, game","Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; VisioThe Mind Stone is one of the six Infinity Stones, the remnant of a singularity that predated the universe, which governed over the fabric of mind. The Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious. At its core, the Stone contains a highly advanced intelligence framework, akin to an incredibly powerful supercomputer operating similarly to a sentient mind. The Stone's intelligence is powerful enough to enhance and spontaneously grant sentience to the artificial beings Ultron and Vision. As implied by this intelligence, the Stone itself also possesses a form of sentience, with the Stone directly communicating with Vision in order to warn him of the coming threat of Thanos.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; Vision",N/A,2018,2146,129,"dystopia, utopia",Non-invasive,0.031007752,0.026143791,0.843137255,Mind Stone,"Anthony Russo, Joe Russo","Motion Pictures, Walt Disney Studios",Marvel Studios,1-Jan-18
250,The Nexus Trilogy,drug,"reading thoughts, recording brain activity",,Novel,nano-drug for direct input and output of brain signals,N/A,2012,2121,110,"dystopia, utopia",N/A,0.090909091,0.062893082,0.691823899,Nexus 5,Ramez Naam,N/A,N/A,1-Jan-12
251,"Nick Hall, thrilogy",implant,"linking, reading thoughts",,Novel,implants that have the ability for the brain to connect directly to the internet as well as reading minds,network,2014,2121,108,"dystopia, utopia",Invasive,0.074074074,0.050955414,0.687898089,N/A,Douglas E. Richards,N/A,N/A,1-Jan-14
252,Minority Report,"helmet, tank with water","communication, knowledge upload, memory, reading thoughts",,"Movie, Novel","specialized mutated humans, called ""Precogs"", who ""previsualize"" crimes by receiving visions of the future.","law enforcement, police",2002,2146,145,dystopia,Non-invasive,0.137931034,0.118343195,0.857988166,N/A,"Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",1-Jan-02
253,Minority Report,helmet,memory,,Movie,headband with a single glowing indicator at the rear to wipe the mind of the prisoner and to control them,"law enforcement, police",2002,2146,145,dystopia,Non-invasive,0.137931034,0.118343195,0.857988166,N/A,"Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures",1-Jan-02
254,"Futurama, S6 EP16 ""Law and Oracle""","helmet, tank with water","communication, knowledge upload, memory, reading thoughts, storage",,sitcom,"Pickles, a robot equipped with an advanced human brain that can predict crimes in advance before they happen.","law enforcement, police",2011,2146,136,dystopia,Non-invasive,0.080882353,0.06875,0.85,N/A,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",1-Jan-11
255,The Mind Machine,N/A,"linking, reading thoughts, robot/object control",,Anime,"Nick Wallace, a computer scientist, discovers a way to control computers with ones thoughts, permitting human beings to think on super-human levels.",N/A,2013,2041,29,"dystopia, utopia",N/A,0.310344828,0.056962025,0.183544304,N/A,Joseph Herman,N/A,Legend Animation,1-Jan-13
256,Ghost in the Shell,implant,"consciousness transfer, linking, storage",,"Anime, Movie, comics","Cyberization is the process whereby a normal brain is physically integrated with electronic components to produce an augmented organ referred to as a cyberbrain. The terms were first coined in the anime and manga series Ghost in the Shell. Cyberbrain implants, in conjunction with micromachines, allow the brain to initiate and maintain a connection to computer networks or other individuals who also possess a cyberbrain. Through the use of a cyberbrain it is possible to have a direct, constant connection between the human brain and the Internet without the need for external devices. This capability results in a number of unforeseen psychosocial phenomena (including the Stand Alone Complex) whose emergence is a major plot element of the various Ghost in the Shell stories.                 A cyberbrain works, ""similar"" to a human brain, to make the body respond to the brain it shoots off an electrical signal through a mass of wiring, (similar to nerves) that's the basics on motion. The thought process is (in theory) close to the same as a fully organic brain.",network,1995,2096,102,"dystopia, utopia",Invasive,0.264705882,0.153409091,0.579545455,CyberBrain,Mamoru Oshii,Shochiku,"Bandai Visual, Production I.G.",1-Jan-95
257,"Black Mirror, S4 EP6 ""Black Museum""",hologram,consciousness transfer,,TV Series,"Using the same consciousness-copying and downloading tech as seen in other “Black Mirror” episodes and discussed earlier in “Black Museum,” the conscious hologram is an actual copy of the person’s entire personality. The technology scans through the person’s brain to exactly duplicate them as a simulation. In “Black Museum,” the consciousness is then simulated in a physical space as a hologram. The hologram is still able to feel pain through the simulation, however, and full copies of the consciousness can be placed in other storage devices, just like the talking monkey doll.",hologram,2017,2121,105,"dystopia, utopia",N/A,0.047619048,0.032467532,0.681818182,N/A,Colm McCarthy,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-17
258,Meditations,N/A,consciousness transfer,,Novel,Brain taken out of the body,N/A,1641,2121,481,"dystopia, utopia",Non-invasive,0.792099792,0.718867925,0.90754717,Brain in the a vat,René Descartes,N/A,N/A,"January 1, 1641"
259,"Black Mirror, SP White Christmas","hologram, tool",consciousness transfer,,TV Series,"A “Cookie” is a small-scale simulation of a person’s consciousness. The cookie computer chip is temporarily implanted into a person’s brain, where it copies their consciousness, and is then removed and placed in small, egg-shaped computer. It’s essentially an artificial intelligence, but it believes it is the person from whom the cookie was copied, which pretty much makes it a person itself. Cookies are used as personal assistants in smart homes, but in order for them to be effective, their will has to be broken. That’s done by adjusting controls that affect how the AI experiences time, causing the consciousness to be trapped and isolated for what can feel like weeks or years, when only a few seconds or minutes passes in the real world.
Cookies also apparently have other purposes. In the “Black Mirror” special episode, a cookie copy of a person is interrogated in order to coerce a confession for a murder, without the consent of the real person who was accused of committing it.","consciousness, emulation",2016,2121,106,"dystopia, utopia",N/A,0.056603774,0.038709677,0.683870968,Cookie,Carl Tibbetts,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-16
260,"Black Mirror, S3 EP ""San Junipero""",N/A,"consciousness transfer, knowledge upload",,TV Series,"A digitizing process that can upload the consciousness of a person into the simulation permanently, outside of their physical body. The idea is that the elderly and dying can be uploaded into the simulation to effectively live forever, even after their bodies have died.",consciousness,2016,2121,106,utopia,N/A,0.056603774,0.038709677,0.683870968,San Junipero,Owen Harris,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron",1-Jan-16
