[id] ID,[title] TITLE,[date] DATE,[sem] Description,[cat] Form-factor,[cat] Category of BCI,[cat] Type of Media,[cat] Keywords,[quant] Date,[quant] Prediction,[quant] BCI forecast,[quant] Reality factor,[quant] Neurafictionality,[quant] Neuroptimism,[quant] Utopianism,[quant] Invasiveness,[cat] Author/Directed by,[cat] Distributed by,[cat] Production Company
216,Star Trek: The Next Generation,1991,"device that fits over the ears and projects signals into the eyes. This creates in the wearer's field of vision an image of discs going into funnels. When a disk goes into one of said funnels, the player is ""rewarded"" by receiving pleasure signals from the device.",glasses,stimulation,"Anime, Movie, TV Series, comics, game","addiction, pleasure",1991,2041,51,0.60784314,0.17222222,0.04305933,0,0.25,Gene Roddenberry,Paramount Pictures,Paramount Television
217,Quarantine,1992,"Neural mods are common place, designed pathways in the brain that are created with engineered, programmable microoganisms to produce a variety of effects, such as implanting skillsets, emotions, altered states of awareness or, illegally, forcing and controlling thoughts.",lifeform,"control of the user, emotions, knowledge upload, manipulation, stimulation",Novel,manipulation,1992,2121,130,0.23076923,0.16759777,0.11367325,0.5,0.75,Greg Egan,N/A,N/A
218, Star Trek: The Next Generation,1992,"Neural transducers were small devices used to restore mobility to physically disabled individuals. They could pick up the neural signals from the brain and then stimulate the appropriate muscles. The implants were generally not one hundred percent effective, but did allow a patient to recover most mobility. Motor assist bandswere first used to train the patient's nervous system before surgery.",implant,"rehabilitation, stimulation","Anime, Movie, TV Series, comics, game",medical,1992,2031,40,0.75,0.16759777,0.0335145,1,0.75,Gene Roddenberry,Paramount Pictures,Paramount Television
219,The Turing Option,1992,Electronic implants (restoring brain activity),implant,stimulation,Novel,medical,1992,2041,50,0.6,0.16759777,0.04242103,1,0.75,Harry Harrison,N/A,N/A
220,Fortress,1992,"To maintain discipline all inmates are implanted with ""Intestinators"" which induce severe pain or death as a form of physical control and mental conditioning.",implant,stimulation,Movie,prison,1992,2041,50,0.6,0.16759777,0.04242103,0,0.75,Stuart Gordon,"Dimension Films, Tri-Star Pictures","Davis Entertainment, Village Roadshow Pictures"
221,Snow Crash,1992,"Firmware programming language for the brainstem, BIOS for the brain",software,"communication, knowledge upload, stimulation",Novel,N/A,1992,2096,105,0.28571429,0.16759777,0.09140693,0.5,N/A,Neal Stephenson,N/A,N/A
222,The Night's Dawn Trilogy,1996,"Neural nanonics are a form of nanoscale technology implanted at the base of the skull that serve as a highly advanced computer system directly linked to the subject's brain. Neural nanonic sets are available in a variety of models which vary in power and applications, like modern computers. Neural nanonics range from very basic models, designed for the average person which allows the day-to-day functions of a neural-linked information culture, to incredibly complex and powerful sets which can allow a user to fly starships (or fly them automatically, to a lesser degree) or command battalions of men. Functioning nanonics have no undesired control over the brain, preserving the will and privacy of the user. However, programmes can be set to ""primary"" mode, at which point they can aide the user, or take control of certain bodily functions completely. Applications:
§ Datavises: E-mail type communication with people and machinery. Control over equipment occurs with thought alone.
§ Sensevises: A way of communicating and viewing data. An image alone with sound , smell, texture, taste etc is electronically encoded directly into the brain. This allows a close approximation to the Edenist affinitygene on a technological level. It provides full stimulation, and complete immersion in a fantasy world. Secure (Level 1) sensevises can occur which are said to be unbreakable by human technological standards.
§ Neuroiconic-Display: Displays data ""into your mind"", the data is viewed through your eyes in your peripheral vision, everything from the time, to datavise answers, through to starship controls and readouts can appear. The information can be expanded on through thought, at which point the display will give greater detail, or activate/answer/respond to, the message/program etc. Damage to the host body (physiological monitors) or starship, etc, are overlaid as icons on a outline of the object in question.
§ Enhanced memory retrieval: Memories can be ""sorted"" and ""filed"" as well as played back and backed up.
§ Physiological and Biochemical Control Functions: Nanonics allow a user to access their body's chemical and physical functions for the purposes of medical diagnosis and treatment--nanonics improve the speed and effectiveness of medical nanonic packages for instance. On a lighter note, neural nanonics allow a person to minimize the effects of their body's unwanted physiological functions, including dampening the effects of alcohol and sexual arousal.
§ Axon Blocks: Axon blocks can block any form of pain from the body, allowing the user to continue to function even with severe wounds. They can also block nausea, and bodily functions, for a while at least.
§ Stimulant Programs: “Stim” programs as they are known range from increasing adrenalin production in times of danger, to flooding the body with endorphins, the higher range programs are considered black market, as they very closely replicate the effect of drugs, with many of the same side effects.
§ Somnolence Progams: Force the user to sleep
§ Attack/Defence: Programs analyse attacks of enemies and can give counter moves, in primary mode many even perform the moves on behalf of the user. This can also “spot” dangers which a normal human may miss.
§ Other uses: Automatic weapon control, Encyclopedia Galactica, SII Suit control, linguistic translation, news informats, starship astrogation, net searches, sight amplification, hearing amplification, full range nerve overrides for the entire body, implant command, total indexed memory recall, electronic warfare.",implant,"communication, linking, memory, robot/object control, stimulation",Novel,military,1996,2121,126,0.20634921,0.14857143,0.11267572,1,0.75,Peter F. Hamilton,N/A,N/A
223,StarCraft,1998,"Neural resocialization was a rigorous process, devised by the Terran Confederacy, used to treat criminals suffering from mental disorders or at least prevent them from committing crimes and turning them into loyal soldiers. Some Dominion military personnel even volunteered for the process (in an effort to avoid mental problems). Those who underwent the process often had a blissful look. Since the reign of Valerian Mengsk, it has been banned by the Terran Dominion.
Terrans sometimes refer to neural resocialization simply as ""resoc"" or ""brain panning"" (the latter term also refers to any form of insanity, brain damage, drug use or even simple stupidity).
Neural resocialization bears many similarities to the technology used normally to control ghosts. However, resocialization technology has been used to control spectres and to modify the memories of ghosts in order to ensure their loyalty.
Resocialized individuals' minds are ""fuzzy"" when sensed by a telepath.",helmet,"control of the user, stimulation",game,prison,1998,2071,74,0.32432432,0.13872832,0.06608253,0,0.25,N/A,N/A,N/A
224, Star Trek: Deep Space Nine,1998,"When authorized by the head of the Obsidian Order, operatives (such as Elim Garak) were fitted with a cranial implant that stimulated the production of endorphins, allowing them to resist torture.",implant,stimulation,"Anime, Movie, TV Series, comics, game",military,1998,2041,44,0.54545455,0.13872832,0.03843625,0.5,0.75,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
225,Deepness in the Sky,1999,"An active MRI-type device triggers changes through dia- and paramagnetic biological molecules. By manipulating the brain in this way, Emergent managers induce obsession with a single idea or specialty, which they call Focus, essentially turning people into brilliant appliances.",tool,"control of the user, stimulation",Novel,"obsessions, stimulations",1999,2121,123,0.18699187,0.13372093,0.11189712,0,0.25,Vernor Vinge,N/A,N/A
226,DeusEx,2000,"One-way micro-transceiver array allows agents in the field to receive messages from Control, and to store and later retrieve relevant maps, conversations and notes. Example 1: helicopter pilot with implanted chips to better pilot her aircraft and analyze flight paths, velocity and spacial awareness. Ex 2: hacker with BCI which allows direct access to computer networks and to act as “human proxy”, to allow an individual to remotely control his/her actions. The game raises the question of the downsides of this kind of augmentation as those who cannot afford the enhancements (or object to getting them) rapidly find themselves at a serious disadvantage against people with artificial enhancement of their abilities. The spectre of being forced to have mechanical or electronic enhancements just to get a job is explored as well. The storyline addresses the effect of implant rejection by use of the fictional drug 'Neuropozyne' which breaks down glial tissue and is also fiercely addictive, leaving people who have augmentations little choice but to continue buying the drug from a single biotech corporation who controls the price of it. Without the drug augmented people experience rejection of implants (along with ensuing loss of implant functionality), crippling pain, and possible death.",implant,"control of the user, linking, manipulation, stimulation",game,military,2000,2121,122,0.18032787,0.12865497,0.11163152,1,0.75,N/A,N/A,N/A
227,Dark Angel,2000,"All Red soldiers were convicts, who were recruited from Death Row with the promise of several more months of life and relative freedom serving their country.
When a soldier was chosen, an implant was inserted (painfully) into the back of his neck, where it attached itself to the brain stem and began to rewire neural pathways. When the process was complete, the pain centers of the brain were deactivated, ensuring that the soldier would feel no pain and therefore would be essentially fearless. They also became hyper-adrenalized, granting them vastly superior physical strength and ruggedness. In this condition, a Red Series could withstand a tremendous amount of physical abuse, and could survive multiple gunshots to the torso. In the end, however, the strain on their nervous system was too great, and they burned out after about six months, a year at best.",implant,stimulation,TV Series,pain,2000,2071,72,0.30555556,0.12865497,0.06501548,0,0.75,"Charles H. Eglee, James Cameron",20th Century Fox,"20th Century Fox Television, Cameron/Eglee Productions"
228,Saturn's Race,2000,A device that aids sleep and relaxation by working with the subject's brain waves,N/A,stimulation,Novel,"sleep, stimulations",2000,2021,22,1,0.12865497,0.01839944,1,N/A,"Larry Niven, Steven Barnes",N/A,N/A
229,Sword Art Online,2009,"Medicuboid is integrated with a bed, from the head to the spinal cord, rather than just a helmet and it connects not only to the medulla, but to the spinal cord as well. It also possesses a greater processing power, allowing interaction with deeper parts of the brain. All these improvements provide the user with enhanced reflexes and reaction time. However, this machine is only meant to be used for medical purposes, and specifically for patients in Terminal Care. The users of the Medicuboid hardly use their own bodies to come back to the real world; instead, they connect to external devices, like cameras and microphones, via the Medicuboid to interact with the real world.",bed,"communication, emotions, linking, stimulation","Anime, Movie, Novel, game","healthcare, medical",2009,2041,33,0.39393939,0.08024691,0.03036423,1,0.75,Reki Kawahara,Aniplex,A-1 Pictures
230,Surrogates,2009,remote-controlled humanoid robots through which the humans interact with society.,helmet,"XR, robot/object control, stimulation","Movie, comics",N/A,2009,2041,33,0.39393939,0.08024691,0.03036423,0.5,0.25,Jonathon Mostow,"Motion Pictures, Walt Disney Studios","Mandeville Productions, TouchStone Pictures"
231,The Outer Limits,1995,"implant used to rewire the brain, later used for telepathy and communication as well as reading thoughts",implant,"reading thoughts, telepathy",TV Series,N/A,1995,2121,127,0.21259843,0.15340909,0.11292935,0.5,0.75,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television"
232,The Night's Dawn Trilogy,1996,"Affinity is a quasi-telepathic link that was developed by the Edenists in the late 21st Century. They use it to communicate mentally with each other, with their habitats and voidhawks. By the 27th Century, it has been further developed to allow direct control of non-sentient computers (such as a bitek array) and animal life forms (such as spiders for remote sensing).
Originally, affinity was achieved by neuron symbionts. That is, an implant in the brains of the ""sender"" and ""receiver"", allowing them to contact each other. Eventually, affinity was encoded in human DNA and embryos engineered to carry this gene. This was one of the reasons which caused the Edenist community to be ex-communicated from the Church (the other being the transfer of Edenist memories and personalities to the neural strata of the original habitat Eden).
Affinity has two modes of communication. One is a secure person-to-person mode for privacy, the other is communial, allowing all Edenists in a given location to pick up on the conversation. Taking the communial mode further, Edenists have a ""Consensus"", kind of mega-meeting of minds, to discuss matters of grave concern (i.e possesion or the Laton crisis).
One of the misconceptions of affinity that Adamists often have is that affinity is ""a voice inside your head"". It is so much more, as a full range of emotions, visual images, smells, and sounds can be transmitted.
Affinity works using an odd property of physics known as quantum entanglement. When two particles are entangled in such a way, the two are linked at a fundamental level, no matter how far apart they are. This allows affinity to broadcast data etc without any apparent means of transmission (i.e. radio), which renders the link to be undetectable of non-affinity technology. It also allows faster-than-light communication. In reality, the distance that affinity has is limited by the power of the sender and the interference present such as large quantities of matter.
Affinity is not used exclusively by Edenists. Owners of blackhawk starships (who are usually Adamist) will have neuron symbionts implanted which allows affinity communication with their ship. Unlike Edenist affinity, the owners link is ""tuned in"" to ship only. Blackhawks do have general affinity though.",implant,"communication, linking, telepathy",Novel,"group mind, religion",1996,2121,126,0.20634921,0.14857143,0.11267572,1,0.75,Peter F. Hamilton,N/A,N/A
233,Star Trek: The Next Generation,1990,"A neural link was the term used to describe the telepathic connection between Borg drones, allowing them the act as one mind in the Collective.",N/A,telepathy,"Anime, Movie, TV Series, comics, game",group mind,1990,2121,132,0.24242424,0.17679558,0.11415548,1,N/A,Gene Roddenberry,Paramount Pictures,Paramount Television
234, Star Trek: Enterprise,2005,"A telepresence unit was a device which utilized telepresence to allow a person to safely control a vessel from a remote location. Telepathy was required to use a telepresence unit, which could transmit brain wave signals through many light years in space.",tool,"reading thoughts, telepathy","Anime, Movie, TV Series, comics, game",telepresence,2005,2041,37,0.45945946,0.10240964,0.03342329,0.5,0.25,"Brannon Braga, Rick Berman",Paramount Pictures,Paramount Television
235,Pacific Rim,2013,"Jaegers, gigantic humanoid mechas, each controlled by at least two pilots, whose minds are joined by a mental link. The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.",N/A,telepathy,"Anime, Movie, game","assimilation, military",2013,2121,109,0.08256881,0.05696203,0.10787273,1,N/A,Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures
236,Pacific Rim,2013,The Drift (also known as Drifting or Bridged) is a process that two Jaeger pilots undergo prior to synchronizing with the Jaeger itself.,N/A,telepathy,"Anime, Movie, game","assimilation, military",2013,2121,109,0.08256881,0.05696203,0.10787273,1,N/A,Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures
237,Star Trek: The Original Series,1966,"A mind meld is a technique for sharing thoughts, experiences, memories, and knowledge with another individual, essentially a limited form of telepathy. It usually requires physical contact with a subject, though instances of mind melds without contact have been seen. When first depicted in the TOS episode ""Dagger of the Mind"", the procedure was said to require several moments of intense concentration and preparation. However, subsequent episodes show contact between minds occurring almost immediately. Although most often seen done with humanoids, mind melds can be performed with members of other species. Spock even once successfully mind melded with a machine and was able to establish telepathic contact with the mechanical probe V'ger. 
Mind melds can be used both to erase and restore memories; Spock performs each of these on Captain Kirk during TOS 's third season. A mind meld was even used to rejoin Spock's katra with his physical body. Mind melds can also allow more than one mind to experience memories and sensations, and sometimes even interact with the memories. Some species are able to resist mind melds.",N/A,telepathy,"Movie, TV Series, comics, game",mind-sharing,1966,2121,156,0.35897436,0.27317073,0.11920833,0.5,N/A,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television"
238,A Biological Experiment,1928,"A device that recorded and played back the thoughts of the user.
",N/A,reading thoughts,Novel,N/A,1928,2071,144,0.65277778,0.38683128,0.09236356,0.5,0.25,David H. Keller,N/A,N/A
239,"The X-Files, S3 EP1 ""The Blessing Way""",1995,Implant that reads each thought and can modify memory,implant,"memory, reading thoughts","Movie, Novel, TV Series",memories,1995,2096,102,0.26470588,0.15340909,0.09028349,0,0.75,R. W. Goodwin,"20th Television, Disney-ABC","20th Century Fox Television, Ten Thirteen Productions"
240,"Fringe, S5 EP8 ""The Human Kind""",2012,Implant that reads minds of others on the expense of emotion,implant,"emotions, reading thoughts",TV Series,emotions,2012,2071,60,0.16666667,0.06289308,0.05804946,0,0.75,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television"
241,Star Trek: Deep Space Nine,1999,"A dataport was a device that allowed a person to interface directly with a computer. Dataports also allowed information to be transferred to or from a person's mind, including memories, which could then be stored in data crystals. A third capability of dataports was allowing two people to link minds; in that capacity, they were used by net-girls, among others, who allowed paid customers into their minds.
The typical dataport had three parts: one which was implanted behind the person's ear, one which was attached to the implant, and one which attached to the target computer.","implant, tool","knowledge upload, memory, reading thoughts","Anime, Movie, TV Series, comics, game",N/A,1999,2121,123,0.18699187,0.13372093,0.11189712,0.5,N/A,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
242,Star Trek: Deep Space Nine,1999,"A neurogenic interface was a technology that allowed a lifeform's brain to directly communicate with a computer, allowing the user to control functions and have it react instantly to thought.",lifeform,reading thoughts,"Anime, Movie, TV Series, comics, game",N/A,1999,2041,43,0.53488372,0.13372093,0.0377451,0.5,N/A,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
243,Star Trek: Voyager,1997,"A neural transceiver or neuro-transceiver (alternately neurotransceiver) was a device capable of granting access to an individual's brain. Implanted in the upper spinal column, this technology was utilized heavily by the Borg as the primary means of maintaining the neural link between an individual drone and the rest of the Collective. ",implant,reading thoughts,"Anime, Movie, TV Series, comics, game",access,1997,2041,45,0.55555556,0.14367816,0.03911947,0.5,0.75,"Jeri Taylor, Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
244, Star Trek: The Next Generation,1991,"A neural interface was a technology that allowed a direct connection to be formed between a computer system and an individual's brain. Technologies which utilized neural interfaces included telepresence units, the suspended animation system of Viorsa's species, and multitronic engrammatic interpreters. ",N/A,"linking, reading thoughts","Anime, Movie, TV Series, comics, game",N/A,1991,2021,31,1,0.17222222,0.02534523,0.5,N/A,Gene Roddenberry,Paramount Pictures,Paramount Television
245, Star Trek: The Original Series,1967,"This version of the tricorder scanned specific brain wave patterns during questioning of the patient, and was helpful in diagnosis and treatment of mental ailments and disorders. It may have possessed a hypnosis-assist subroutine, as well as subroutines for lie-detection and amnesia analysis. The device was normally operated by a medical technician while the attending psychologist directed the patient.",tool,"reading thoughts, recording brain activity, rehabilitation","Anime, Movie, Novel, TV Series, comics, game",medical,1967,2021,55,1,0.26960784,0.04087111,0.5,0.25,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television"
246, Star Trek: Deep Space Nine,1999,"The device had the ability to record thoughts and provide that data to be read by the interrogators, thus making it possible to bypass normal interrogation techniques.",tool,reading thoughts,"Anime, Movie, TV Series, comics, game",interrogation,1999,2041,43,0.53488372,0.13372093,0.0377451,0,0.25,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
247,Sol Bianca,1999,"It is a direct neural interface weapon, tapping into the user's thoughts and intentions. By reading the mind of the soldier wearing it - its a big gun - the reflexes of the peripheral nervous system are effectively bypassed and the gun fires long before the finger pulls the trigger. It is pretty much instantaneous when the decision to fire has been made.",helmet,reading thoughts,Anime,military,1999,2041,43,0.53488372,0.13372093,0.0377451,0,0.25,"Hiroki Hayashi, Katsuhito Akiyama",N/A,AIC
248,Harry Potter,1997,"The Hat is skilled with legilimency, the act of magically navigating through the many layers of a person's mind and correctly interpreting one's findings. A person who practises this art is known as a Legilimens. Muggles might call this ""mind-reading,"" but practitioners disdain the term as naive. The opposite of Legilimency is Occlumency, which may be used to shield one's mind from the invasion and influence of a Legilimens.",hat,reading thoughts,"Movie, Novel, Theatre, game",education,1997,2041,45,0.55555556,0.14367816,0.03911947,1,0.25,J. K. Rowling,Warner Bros. Pictures,Warner Bros. Pictures
249,Avengers: Infinity War,2018,"Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; VisioThe Mind Stone is one of the six Infinity Stones, the remnant of a singularity that predated the universe, which governed over the fabric of mind. The Mind Stone allows the user to enhance their mental and psionic abilities and access the thoughts and dreams of other beings. When backed by the Power Gem, the Mind Gem can access all minds in existence simultaneously. The Mind Gem is also the manifestation of the universal subconscious. At its core, the Stone contains a highly advanced intelligence framework, akin to an incredibly powerful supercomputer operating similarly to a sentient mind. The Stone's intelligence is powerful enough to enhance and spontaneously grant sentience to the artificial beings Ultron and Vision. As implied by this intelligence, the Stone itself also possesses a form of sentience, with the Stone directly communicating with Vision in order to warn him of the coming threat of Thanos.
Owners:
Grandmaster; Thanos; Nebula; Adam Warlock; Moondragon; Magus; Rune; Primevil; Loki; Galactus; Professor X; Odeni; Hood; Ms. Marvel; Beast; Mr. Turk; Vision",stone,"dreams, memory, reading thoughts","Movie, comics, game",N/A,2018,2146,129,0.03100775,0.02614379,0.1323071,0.5,0.25,"Anthony Russo, Joe Russo","Motion Pictures, Walt Disney Studios",Marvel Studios
250,The Nexus Trilogy,2012,nano-drug for direct input and output of brain signals,drug,"reading thoughts, recording brain activity",Novel,N/A,2012,2121,110,0.09090909,0.06289308,0.10818369,0.5,N/A,Ramez Naam,N/A,N/A
251,"Nick Hall, thrilogy",2014,implants that have the ability for the brain to connect directly to the internet as well as reading minds,implant,"linking, reading thoughts",Novel,network,2014,2121,108,0.07407407,0.05095541,0.10755781,0.5,0.75,Douglas E. Richards,N/A,N/A
252,Minority Report,2002,"specialized mutated humans, called ""Precogs"", who ""previsualize"" crimes by receiving visions of the future.","helmet, tank with water","communication, knowledge upload, memory, reading thoughts","Movie, Novel","law enforcement, police",2002,2146,145,0.13793103,0.1183432,0.13467473,0,0.25,"Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures"
253,Minority Report,2002,headband with a single glowing indicator at the rear to wipe the mind of the prisoner and to control them,helmet,memory,Movie,"law enforcement, police",2002,2146,145,0.13793103,0.1183432,0.13467473,0,0.25,"Philip K. Dick, Steven Spielberg","20th Century Fox, DreamWorks Pictures","20th Century Fox, Amblin Entertainment, DreamWorks Pictures"
254,"Futurama, S6 EP16 ""Law and Oracle""",2011,"Pickles, a robot equipped with an advanced human brain that can predict crimes in advance before they happen.","helmet, tank with water","communication, knowledge upload, memory, reading thoughts, storage",sitcom,"law enforcement, police",2011,2146,136,0.08088235,0.06875,0.13340121,0,0.25,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company"
255,The Mind Machine,2013,"Nick Wallace, a computer scientist, discovers a way to control computers with ones thoughts, permitting human beings to think on super-human levels.",N/A,"linking, reading thoughts, robot/object control",Anime,N/A,2013,2041,29,0.31034483,0.05696203,0.02715028,0.5,N/A,Joseph Herman,N/A,Legend Animation
256,Ghost in the Shell,1995,"Cyberization is the process whereby a normal brain is physically integrated with electronic components to produce an augmented organ referred to as a cyberbrain. The terms were first coined in the anime and manga series Ghost in the Shell. Cyberbrain implants, in conjunction with micromachines, allow the brain to initiate and maintain a connection to computer networks or other individuals who also possess a cyberbrain. Through the use of a cyberbrain it is possible to have a direct, constant connection between the human brain and the Internet without the need for external devices. This capability results in a number of unforeseen psychosocial phenomena (including the Stand Alone Complex) whose emergence is a major plot element of the various Ghost in the Shell stories.                 A cyberbrain works, ""similar"" to a human brain, to make the body respond to the brain it shoots off an electrical signal through a mass of wiring, (similar to nerves) that's the basics on motion. The thought process is (in theory) close to the same as a fully organic brain.",implant,"consciousness transfer, linking, storage","Anime, Movie, comics",network,1995,2096,102,0.26470588,0.15340909,0.09028349,0.5,0.75,Mamoru Oshii,Shochiku,"Bandai Visual, Production I.G."
257,"Black Mirror, S4 EP6 ""Black Museum""",2017,"Using the same consciousness-copying and downloading tech as seen in other “Black Mirror” episodes and discussed earlier in “Black Museum,” the conscious hologram is an actual copy of the person’s entire personality. The technology scans through the person’s brain to exactly duplicate them as a simulation. In “Black Museum,” the consciousness is then simulated in a physical space as a hologram. The hologram is still able to feel pain through the simulation, however, and full copies of the consciousness can be placed in other storage devices, just like the talking monkey doll.",hologram,consciousness transfer,TV Series,hologram,2017,2121,105,0.04761905,0.03246753,0.10658851,0.5,N/A,Colm McCarthy,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron"
258,Meditations,1641,Brain taken out of the body,N/A,consciousness transfer,Novel,N/A,1641,2121,481,0.79209979,0.71886793,0.14257577,0.5,0.25,René Descartes,N/A,N/A
259,"Black Mirror, SP White Christmas",2016,"A “Cookie” is a small-scale simulation of a person’s consciousness. The cookie computer chip is temporarily implanted into a person’s brain, where it copies their consciousness, and is then removed and placed in small, egg-shaped computer. It’s essentially an artificial intelligence, but it believes it is the person from whom the cookie was copied, which pretty much makes it a person itself. Cookies are used as personal assistants in smart homes, but in order for them to be effective, their will has to be broken. That’s done by adjusting controls that affect how the AI experiences time, causing the consciousness to be trapped and isolated for what can feel like weeks or years, when only a few seconds or minutes passes in the real world.
Cookies also apparently have other purposes. In the “Black Mirror” special episode, a cookie copy of a person is interrogated in order to coerce a confession for a murder, without the consent of the real person who was accused of committing it.","hologram, tool",consciousness transfer,TV Series,"consciousness, emulation",2016,2121,106,0.05660377,0.03870968,0.10691578,0.5,N/A,Carl Tibbetts,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron"
260,"Black Mirror, S3 EP ""San Junipero""",2016,"A digitizing process that can upload the consciousness of a person into the simulation permanently, outside of their physical body. The idea is that the elderly and dying can be uploaded into the simulation to effectively live forever, even after their bodies have died.",N/A,"consciousness transfer, knowledge upload",TV Series,consciousness,2016,2121,106,0.05660377,0.03870968,0.10691578,1,N/A,Owen Harris,"Endemol Shine UK, Netflix","House of Tomorrow, Zeppotron"
261,The Ship Who Sang,1969,"A brainship is made by inserting the disembodied brain and nervous system or malformed body of a human being into a life-support system, and connecting it surgically to a series of computers via delicate synaptic connections.
The brain ""feels"" the ship (or any other connected peripherals) as part of its own body.",implant,"consciousness transfer, linking",Novel,N/A,1969,2096,128,0.4140625,0.26237624,0.09891134,0.5,N/A,Anne McCaffrey,N/A,N/A
262,Futurama,2012,"tapping into the Matrix idea of bodies being used for batteries, the older people that stayed at this ‘Near-Death Star’ where hooked to wires pushing their consciousness into a computer generated environment. In order for visitors to get inside the 3D modeled world, they had to jack into the system through a USB connection wearing torture-like headsets complete with metal spikes attached. A zap of energy would transport the users into the system falling through a tunnel of 1’s and 0’s.",helmet,consciousness transfer,sitcom,consciousness,2012,2121,110,0.09090909,0.06289308,0.10818369,0.5,0.25,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company"
263,Robocop,2014,Parts of the brain of the policeman reused to be built into a new “robocop” – half-human/half cyborg system,"exoskeleton, implant","consciousness transfer, manipulation",Movie,military,2014,2071,58,0.13793103,0.05095541,0.05678493,0.5,0.75,Jose Padilha,Sony Pictures Releasing,"Columbia Pictures, Metro-Goldwyn-Mayer"
264,Westworld,2018,"The cowboy hats were scanning brains and making copies of the guests allowing Delos to save those scans in the servers stored at the Valley Beyond (aka the Forge), creating a “Cradle” similar but much bigger than where Ford was hiding out. ",hat,"consciousness transfer, storage","Movie, TV Series",emulation,2018,2096,79,0.05063291,0.02614379,0.08020682,0,0.25,"Jonathan Nolan, Lisa Joy",Warner Bros. Television,"Bad Robot Productions, HBO Entertainment, Warner Bros. Television"
265,The Quantum Thief,2010,"Brain emulation; Gogal Pirates; gogol piracy – defined as the 'uploading of a human mind without the victim’s knowledge, stealing their mind,' disconnecting or disassociating the mind from its human prime; creating a discontinuity of the soul.",N/A,"cerebral defense, consciousness transfer",Novel,emulation,2010,2121,112,0.10714286,0.07453416,0.10879402,0,N/A,Hannu Rajaniemi,N/A,N/A
266,Possessor: Uncut,2020,"""possessor"": a contract killer whose consciousness is implanted into the body of another person in order to carry out an assassination.",N/A,"consciousness transfer, knowledge upload",Movie,assasination,2020,2121,102,0.01960784,0.01324503,0.10558069,0,N/A,Brandon Cronenberg,N/A,"Particular Crowd, Rhombus Media"
267,Criminal,2016,"One time usage, transfer of the knowledge",headset,consciousness transfer,Movie,knowledge,2016,2121,106,0.05660377,0.03870968,0.10691578,1,0.25,Ariel Vromen,Lionsgate Premiere,"Millennium Films, Summit Entertainment"
268,The Winter Market,1986,"consciousness is separated from the body and ""uploaded"" into a supercomputer, where it continues to think and function on its own.",N/A,consciousness transfer,Short Story,consciousness,1986,2121,136,0.26470588,0.1945946,0.11508866,0.5,N/A,William Gibson,N/A,N/A
269,Count Zero,1986,"A biography that includes actual life experience from the subject; a biographical download.
",N/A,"consciousness transfer, memory",Novel,BIO,1986,2121,136,0.26470588,0.1945946,0.11508866,0.5,N/A,William Gibson,N/A,N/A
270,Count Zero,1986,"A cover specially made to protect one's microsoft socket; a tongue retainer for your brain.
",cover,"consciousness transfer, memory",Novel,N/A,1986,2031,46,0.7826087,0.1945946,0.03752966,1,N/A,William Gibson,N/A,N/A
271,Joe 90,1968,"The ""BIG RAT"" (Brain Impulse Galvanoscope Record And Transfer), a machine capable of recording knowledge and experience from leading experts in various fields and transferring it to another human brain. At the heart of the design is the ""Rat Trap"": a spherical, rotating cage in which a subject is seated during the transfer of ""brain patterns"".",tool,"knowledge upload, recording brain activity","Novel, TV Series, comics",knowledge,1968,2121,154,0.35064935,0.26600985,0.11883289,1,0.25,"Gerry Anderson, Sylvia Anderson",ITC Entertainment,Century 21 Productions
